track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_deezer_playlists,streams,in_apple_playlists,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Overall Ranking
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,8,143573775,35,16,102,1,117,166,57,84,94,11,0,37,9,59
Reminder,The Weeknd,1,2016,11,25,6518,238,684675814,45,17,85,1,47,160,71,40,50,16,0,16,22,37.5
Shake It Off,Taylor Swift,1,2014,1,1,21335,"1,378",1113838873,328,13,70,9,20,160,65,95,80,5,0,41,16,28
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,"1,089",1267333350,54,29,70,2,1,92,70,81,63,4,0,8,4,25.5
SNAP,Rosa Linn,1,2022,3,19,3202,226,726307468,148,18,80,24,0,170,56,53,64,11,0,45,6,30.5
Shape of You,Ed Sheeran,1,2017,1,6,32181,"6,808",3562543890,33,10,0,7,0,96,83,93,65,58,0,9,8,4.25
Night Changes,One Direction,1,2014,11,17,7124,2,1131090940,60,18,20,0,,120,67,40,52,86,0,12,4,12.66666667
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,6,307370144,11,14,84,1,30,98,70,37,54,6,0,9,8,32.25
Creep,Radiohead,1,1992,9,21,36724,"6,807",1271293243,146,7,72,5,80,92,53,12,34,1,0,12,4,41
Car's Outside,James Arthur,1,2019,10,18,794,61,265882712,38,10,25,0,263,150,34,24,56,4,0,11,3,74.5
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,790,841749534,61,17,96,2,116,94,37,17,47,2,46,11,3,57.75
Cheques,Shubh,1,2023,5,19,67,0,47956378,7,8,10,0,57,90,74,36,63,26,0,27,5,18.75
Pink + White,Frank Ocean,1,2016,8,20,21574,266,806397070,112,30,68,1,39,160,54,54,55,67,0,42,11,34.5
Circles,Post Malone,1,2019,8,30,19664,633,2132335812,391,16,73,3,37,120,70,59,75,24,0,9,4,32.25
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,"2,946",1641426668,82,13,0,0,0,109,63,46,85,1,0,9,5,3.25
Take Me To Church,Hozier,1,2013,9,13,23804,"4,623",2135158446,187,31,99,1,0,129,57,41,66,63,0,12,5,32.75
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,21,367316268,27,22,129,7,111,157,54,75,60,30,0,7,5,67.25
